urlkey,timestamp,url,mime,mime-detected,status,digest,length,offset,filename,languages,encoding,redirect,truncated,warc_file_downloaded,remark
"edu,stanford,cs)/",20240614224332,https://www.cs.stanford.edu/,text/html,text/html,Completed,SR2HFJROL2OJLGPJNK4ALZOBMLPMPXSQ,17026,658004985,crawl-data/CC-MAIN-2024-26/segments/1718198861575.66/warc/CC-MAIN-20240614204739-20240614234739-00211.warc.gz,eng,UTF-8,,,False,
"edu,stanford,cs)/",20240622021128,https://www.cs.stanford.edu/,text/html,text/html,Completed,G5NPU7GECLCULF4LD3A6RW5JJIKTMLYB,16932,626928462,crawl-data/CC-MAIN-2024-26/segments/1718198862249.29/warc/CC-MAIN-20240622014659-20240622044659-00211.warc.gz,eng,UTF-8,,,False,
"edu,stanford,cs)/about/contact-us",20240625185917,https://www.cs.stanford.edu/about/contact-us,text/html,text/html,Completed,GR6MVXZHXUZHUJZVY4HAS3KZWLGKZBYX,10557,29968734,crawl-data/CC-MAIN-2024-26/segments/1718198866218.13/crawldiagnostics/CC-MAIN-20240625171218-20240625201218-00520.warc.gz,,,,,False,
"edu,stanford,cs)/academics-courses-autumn-schedule",20240624194027,https://www.cs.stanford.edu/academics-courses-autumn-schedule,text/html,text/html,Completed,356VASHCLH52CX5CUMWAWAF3QMFHULRD,915,29779447,crawl-data/CC-MAIN-2024-26/segments/1718198865482.23/crawldiagnostics/CC-MAIN-20240624182503-20240624212503-00357.warc.gz,,,https://www.cs.stanford.edu/academics-courses-schedule-autumn-quarter,,False,
"edu,stanford,cs)/academics-courses-schedule-autumn-quarter",20240624194028,https://www.cs.stanford.edu/academics-courses-schedule-autumn-quarter,text/html,text/html,Completed,OFHKDOLJRNOCPUEQMLXDHKA7BZQIJU2J,14219,637426456,crawl-data/CC-MAIN-2024-26/segments/1718198865482.23/warc/CC-MAIN-20240624182503-20240624212503-00390.warc.gz,eng,UTF-8,,,False,
"edu,stanford,cs)/academics/academics-bachelors-program",20240623023721,https://www.cs.stanford.edu/academics/academics-bachelors-program,text/html,text/html,Completed,73CXGCAL4VZ5EIHA2EQXP3ODBDEYMXZH,12751,614093880,crawl-data/CC-MAIN-2024-26/segments/1718198862425.28/warc/CC-MAIN-20240623001858-20240623031858-00377.warc.gz,eng,UTF-8,,,False,
"edu,stanford,cs)/academics/academics-bachelors-program?cs_alias=aviad",20240623023546,https://www.cs.stanford.edu/academics/academics-bachelors-program?cs_alias=aviad,text/html,text/html,Completed,M3XRFMP725PW2SXDXS6D6LEGKIAVQTNF,12802,633274271,crawl-data/CC-MAIN-2024-26/segments/1718198862425.28/warc/CC-MAIN-20240623001858-20240623031858-00761.warc.gz,eng,UTF-8,,,False,
"edu,stanford,cs)/academics/academics-bachelors-program?cs_alias=bejerano",20240623014248,https://www.cs.stanford.edu/academics/academics-bachelors-program?cs_alias=bejerano,text/html,text/html,Completed,EPF6L65VXL5AK2J2MCSUISFRYB6PTX4P,12765,634518952,crawl-data/CC-MAIN-2024-26/segments/1718198862425.28/warc/CC-MAIN-20240623001858-20240623031858-00708.warc.gz,eng,UTF-8,,,False,
"edu,stanford,cs)/academics/academics-bachelors-program?cs_alias=cbl",20240623014831,https://www.cs.stanford.edu/academics/academics-bachelors-program?cs_alias=cbl,text/html,text/html,Completed,XEOSBJPN2NEZZRFAIQ4NKR7WACKAMFBZ,12743,636460517,crawl-data/CC-MAIN-2024-26/segments/1718198862425.28/warc/CC-MAIN-20240623001858-20240623031858-00131.warc.gz,eng,UTF-8,,,False,
"edu,stanford,cs)/academics/academics-bachelors-program?cs_alias=cwodtke",20240623011015,https://www.cs.stanford.edu/academics/academics-bachelors-program?cs_alias=cwodtke,text/html,text/html,Completed,7C3ZKROCTAYRDOINGWD4EBUNN4TPGQLY,12751,623065043,crawl-data/CC-MAIN-2024-26/segments/1718198862425.28/warc/CC-MAIN-20240623001858-20240623031858-00023.warc.gz,eng,UTF-8,,,False,
"edu,stanford,cs)/academics/academics-bachelors-program?cs_alias=ermon",20240623013001,https://www.cs.stanford.edu/academics/academics-bachelors-program?cs_alias=ermon,text/html,text/html,Completed,BJWJWPY27MAN4O5C7JZ2ZMUSVDKAY3C5,12743,628550540,crawl-data/CC-MAIN-2024-26/segments/1718198862425.28/warc/CC-MAIN-20240623001858-20240623031858-00669.warc.gz,eng,UTF-8,,,False,
"edu,stanford,cs)/academics/academics-bachelors-program?cs_alias=hanrahan",20240623014350,https://www.cs.stanford.edu/academics/academics-bachelors-program?cs_alias=hanrahan,text/html,text/html,Completed,E4F2XBDKL6NV7KESIBCBHLXHSY6R2PGH,12747,625267471,crawl-data/CC-MAIN-2024-26/segments/1718198862425.28/warc/CC-MAIN-20240623001858-20240623031858-00403.warc.gz,eng,UTF-8,,,False,
"edu,stanford,cs)/academics/academics-bachelors-program?cs_alias=htiek",20240614230532,https://www.cs.stanford.edu/academics/academics-bachelors-program?cs_alias=htiek,text/html,text/html,Completed,CEQBOFN4I5AXL26PI56W3MDAWGTXU6G6,12804,682935933,crawl-data/CC-MAIN-2024-26/segments/1718198861575.66/warc/CC-MAIN-20240614204739-20240614234739-00657.warc.gz,eng,UTF-8,,,False,
"edu,stanford,cs)/academics/academics-bachelors-program?cs_alias=jerry",20240623011505,https://www.cs.stanford.edu/academics/academics-bachelors-program?cs_alias=jerry,text/html,text/html,Completed,TDLP2UWCAN6UMSOH3RIW5R5HGBK7BXNW,12772,628468780,crawl-data/CC-MAIN-2024-26/segments/1718198862425.28/warc/CC-MAIN-20240623001858-20240623031858-00500.warc.gz,eng,UTF-8,,,False,
"edu,stanford,cs)/academics/academics-bachelors-program?cs_alias=kayvonf",20240623004843,https://www.cs.stanford.edu/academics/academics-bachelors-program?cs_alias=kayvonf,text/html,text/html,Completed,Q3V7B3GSII3Z2GYKE5MLTXP4CWJ2Q5YX,12807,633650966,crawl-data/CC-MAIN-2024-26/segments/1718198862425.28/warc/CC-MAIN-20240623001858-20240623031858-00042.warc.gz,eng,UTF-8,,,False,
"edu,stanford,cs)/academics/academics-bachelors-program?cs_alias=keithw",20240623023335,https://www.cs.stanford.edu/academics/academics-bachelors-program?cs_alias=keithw,text/html,text/html,Completed,G7FTAR2GVRUGUYGQFJSZ6O5GJ5QWFJVP,12750,630026232,crawl-data/CC-MAIN-2024-26/segments/1718198862425.28/warc/CC-MAIN-20240623001858-20240623031858-00338.warc.gz,eng,UTF-8,,,False,
"edu,stanford,cs)/academics/academics-bachelors-program?cs_alias=landay",20240623004005,https://www.cs.stanford.edu/academics/academics-bachelors-program?cs_alias=landay,text/html,text/html,Completed,2DFOSZXONJ2HPQFEIVRI4JEKXI3NLJCS,12750,638845358,crawl-data/CC-MAIN-2024-26/segments/1718198862425.28/warc/CC-MAIN-20240623001858-20240623031858-00169.warc.gz,eng,UTF-8,,,False,
"edu,stanford,cs)/academics/academics-bachelors-program?cs_alias=mchang",20240613030050,https://www.cs.stanford.edu/academics/academics-bachelors-program?cs_alias=mchang,text/html,text/html,Completed,SDQRLI4GBLFEDKJCHRGOM5BFS2EZVJVU,12822,672446552,crawl-data/CC-MAIN-2024-26/segments/1718198861342.11/warc/CC-MAIN-20240613025523-20240613055523-00218.warc.gz,eng,UTF-8,,,False,
"edu,stanford,cs)/academics/academics-bachelors-program?cs_alias=moses",20240614210551,https://www.cs.stanford.edu/academics/academics-bachelors-program?cs_alias=moses,text/html,text/html,Completed,YNJSXY2QXRQGRALQSQ2URX3RQDMESDAN,12807,658301344,crawl-data/CC-MAIN-2024-26/segments/1718198861575.66/warc/CC-MAIN-20240614204739-20240614234739-00525.warc.gz,eng,UTF-8,,,False,
"edu,stanford,cs)/academics/academics-bachelors-program?cs_alias=mykel",20240614212927,https://www.cs.stanford.edu/academics/academics-bachelors-program?cs_alias=mykel,text/html,text/html,Completed,EU7NSMAYEKP4S5LQU4C4SAI5FJQWOYDK,12807,661233785,crawl-data/CC-MAIN-2024-26/segments/1718198861575.66/warc/CC-MAIN-20240614204739-20240614234739-00040.warc.gz,eng,UTF-8,,,False,
"edu,stanford,cs)/academics/academics-bachelors-program?cs_alias=nick",20240623025435,https://www.cs.stanford.edu/academics/academics-bachelors-program?cs_alias=nick,text/html,text/html,Completed,TDQCGZD75VXLIJPVUMOG463BX3S3S3W4,12744,622262868,crawl-data/CC-MAIN-2024-26/segments/1718198862425.28/warc/CC-MAIN-20240623001858-20240623031858-00161.warc.gz,eng,UTF-8,,,False,
"edu,stanford,cs)/academics/academics-bachelors-program?cs_alias=nickm",20240623024331,https://www.cs.stanford.edu/academics/academics-bachelors-program?cs_alias=nickm,text/html,text/html,Completed,RJN52ZC5PXENCLVBQWBZRSYEKNRCLTOM,12747,626931238,crawl-data/CC-MAIN-2024-26/segments/1718198862425.28/warc/CC-MAIN-20240623001858-20240623031858-00204.warc.gz,eng,UTF-8,,,False,
"edu,stanford,cs)/academics/academics-bachelors-program?cs_alias=ok",20240623025209,https://www.cs.stanford.edu/academics/academics-bachelors-program?cs_alias=ok,text/html,text/html,Completed,NK2GQFEP23UU4RERJH3KSTLQYBGQLBKW,12742,630214413,crawl-data/CC-MAIN-2024-26/segments/1718198862425.28/warc/CC-MAIN-20240623001858-20240623031858-00638.warc.gz,eng,UTF-8,,,False,
"edu,stanford,cs)/academics/academics-bachelors-program?cs_alias=pyoung",20240623011814,https://www.cs.stanford.edu/academics/academics-bachelors-program?cs_alias=pyoung,text/html,text/html,Completed,NZAAI7G67OZI2Z2BSE3Y5MRKIHAUVYGK,12748,630444338,crawl-data/CC-MAIN-2024-26/segments/1718198862425.28/warc/CC-MAIN-20240623001858-20240623031858-00690.warc.gz,eng,UTF-8,,,False,
"edu,stanford,cs)/academics/academics-bachelors-program?cs_alias=reingold",20240624182759,https://www.cs.stanford.edu/academics/academics-bachelors-program?cs_alias=reingold,text/html,text/html,Completed,VOAKVRYHRVKDFA46ZG5QY4PJJ56JLXKI,12751,620784431,crawl-data/CC-MAIN-2024-26/segments/1718198865482.23/warc/CC-MAIN-20240624182503-20240624212503-00162.warc.gz,eng,UTF-8,,,False,
"edu,stanford,cs)/academics/academics-bachelors-program?cs_alias=rondror",20240623010937,https://www.cs.stanford.edu/academics/academics-bachelors-program?cs_alias=rondror,text/html,text/html,Completed,3QV4B3YLFJTHWCCEUVQGADCZV3KZ2VIP,12767,627670162,crawl-data/CC-MAIN-2024-26/segments/1718198862425.28/warc/CC-MAIN-20240623001858-20240623031858-00836.warc.gz,eng,UTF-8,,,False,
"edu,stanford,cs)/academics/academics-bachelors-program?cs_alias=sahami",20240623022119,https://www.cs.stanford.edu/academics/academics-bachelors-program?cs_alias=sahami,text/html,text/html,Completed,NGXJNEOCKUQ36FHO5DGUFBQR3CH3GSLV,12747,613789054,crawl-data/CC-MAIN-2024-26/segments/1718198862425.28/warc/CC-MAIN-20240623001858-20240623031858-00853.warc.gz,eng,UTF-8,,,False,
